Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
COVID-19 disease in hospitalized young adults in India and China: Evaluation of risk factors predicting progression across two major ethnic groups(rerun),"S., Panda; S., Roy; R.K., Garg; G., Hui; J., Gorard; M., Bhutada; Y., Sun; S., Bhatnagar; A., Mohan; L., Dar; Liu M.  AO  - Garg  Gan; ORCID: https:; orcid.org/0000-0002-4960-1507 AO  - Liu, Mao; ORCID: https:; orcid.org/0000-0002-1948-0337, Rohit K.; ORCID: https:; orcid.org/0000-0001-8203-0323 A O - Hui; Panda, S; Roy, S; Garg, R K; Hui, G; Gorard, J; Bhutada, M; Sun, Y; Bhatnagar, S; Mohan, A; Dar, L; Liu, M","Data pertaining to risk factor analysis in coronavirus disease 2019 (COVID-19) is confounded by the lack of data from an ethnically diverse population. In addition, there is a lack of data for young adults. This study was conducted to assess risk factors predicting COVID-19 severity and mortality in hospitalized young adults. A retrospective observational study was conducted at two centers from China and India on COVID-19 patients aged 20-50 years. Regression analysis to predict adverse outcomes was performed using parameters including age, sex, country of origin, hospitalization duration, comorbidities, lymphocyte count, and National Early Warning Score 2 (NEWS2) score at admission. A total of 420 patients (172 East Asians and 248 South Asians) were included. The predictive model for intensive care unit (ICU) admission with variables NEWS2 Category II and higher, diabetes mellitus, liver dysfunction, and low lymphocyte counts had an area under the curve (AUC) value of 0.930 with a sensitivity of 0.931 and a specificity of 0.784. The predictive model for mortality with NEWS2 Category III, cancer, and decreasing lymphocyte count had an AUC value of 0.883 with a sensitivity of 0.903 and a specificity of 0.701. A combined predictive model with bronchial asthma and low lymphocyte count, in contrast, had an AUC value of 0.768 with a sensitivity of 0.828 and a specificity of 0.719 for NEWS2 score (5 or above) at presentation. NEWS2 supplemented with comorbidity profile and lymphocyte count could help identify hospitalized young adults at risk of adverse COVID-19 outcomes.Copyright Â© 2021 Wiley Periodicals LLC",2022,,Journal of Medical Virology,,,,,https://dx.doi.org/10.1002/jmv.27315,,#73029,S 2022,"Justine Chan (2023-10-27 21:06:30)(Select): OR provided for ""death"" but does not seem specific to covid19
; Abigail Burn (2023-10-27 20:33:54)(Select): univariate and multivariate analysis for cancer with death (table 4, 5) and ICU admission (table 2, 3) as outcome
no. of cancer patients = 10, no. of non-cancer patients = 410; ",cancer as comorbidity - included due to reasonable adjustments
The role of obesity in predicting the clinical outcomes of COVID-19(rerun),"S., Sahin; H., Sezer; E., Cicek; Y., Yaglz Ozogul; M., Yildirim; T.B., Icli; O., Polat Korkmaz; E., Durcan; C., Sulu; K., Somay; B., Bekdemir; S., Borekci; D., Yazici; O., Deyneli; O., Ergonul; F., Tabak; Y., Dikmen; H.M., Ozkaya; M.S., Gonen; T., Damci; H., Ilkova; , Yumuk V D","Introduction: The aim of this was to describe the predictors of mortality related to COVID-19 infection and to evaluate the association between overweight, obesity, and clinical outcomes of COVID-19. Method(s): We included the patients >18 years of age, with at least one positive SARS-CoV-2 reverse transcriptase-polymerase chain reaction. Patients were grouped according to body mass index values as normal weight <25 kg/m2 (Group A), overweight from 25 to <30 kg/m2 (Group B), Class I obesity 30 to <35 kg/m2 (Group C), and >=35 kg/m2 (Group D). Mortality, clinical outcomes, laboratory parameters, and comorbidities were compared among 4 groups. Result(s): There was no significant difference among study groups in terms of mortality. Noninvasive mechanical ventilation requirement was higher in group B and D than group A, while it was higher in Group D than Group C (Group B vs. Group A [p = 0.017], Group D vs. Group A [p = 0.001], and Group D vs. Group C [p = 0.016]). Lung involvement was less common in Group A, and presence of hypoxia was more common in Group D (Group B vs. Group A [p = 0.025], Group D vs. Group A [p < 0.001], Group D vs. Group B [p = 0.006], and Group D vs. Group C [p = 0.014]). The hospitalization rate was lower in Group A than in the other groups; in addition, patients in Group D have the highest rate of hospitalization (Group B vs. Group A [p < 0.001], Group C vs. Group A [p < 0.001], Group D vs. Group A [p < 0.001], Group D vs. Group B [p < 0.001], and Group D vs. Group C [p = 0.010]). Conclusion(s): COVID-19 patients with overweight and obesity presented with more severe clinical findings. Health-care providers should take into account that people living with overweight and obesity are at higher risk for COVID-19 and its complications.Copyright Â© 2021",2021,,Obesity Facts,,,,,https://dx.doi.org/10.1159/000517180,,#73031,S 2021,Abigail Burn (2023-11-06 00:08:50)(Select): multivariate analysis table 3; ,James; cancer as comorbidity - included due to reasonable adjustments
Impact of comorbidity burden on mortality in patients with COVID-19 using the Korean health insurance database(rerun),"S.I., Cho; S., Yoon; , Lee H.-J.","We aimed to investigate the impact of comorbidity burden on mortality in patients with coronavirus disease (COVID-19). We analyzed the COVID-19 data from the nationwide health insurance claims of South Korea. Data on demographic characteristics, comorbidities, and mortality records of patients with COVID-19 were extracted from the database. The odds ratios of mortality according to comorbidities in these patients with and without adjustment for age and sex were calculated. The predictive value of the original Charlson comorbidity index (CCI) and the age-adjusted CCI (ACCI) for mortality in these patients were investigated using the receiver operating characteristic (ROC) curve analysis. Among 7590 patients, 227 (3.0%) had died. After age and sex adjustment, hypertension, diabetes mellitus, congestive heart failure, dementia, chronic pulmonary disease, liver disease, renal disease, and cancer were significant risk factors for mortality. The ROC curve analysis showed that an ACCI threshold>3.5 yielded the best cut-off point for predicting mortality (area under the ROC 0.92; 95% confidence interval 0.91-0.94). Our study revealed multiple risk factors for mortality in patients with COVID-19. The high predictive power of the ACCI for mortality in our results can support the importance of old age and comorbidities in the severity of COVID-19.",2021,,Scientific reports,,,,,https://dx.doi.org/10.1038/s41598-021-85813-2,,#73035,S 2021,"Justine Chan (2023-11-06 04:51:11)(Select): Figure 2 shows the odds ratios (ORs) of mortality by comorbidities with 95% confdence intervals (CIs), with
age and sex adjustment in the all-patient and the Daegu–Gyeongbuk cohorts. Afer adjustment, ....cancer (OR 1.88; 95%
CI 1.17–3.02) were signifcant risk factors for mortality in patients with COVID-19 in the all-patient cohort; ",cancer as comorbidity - included due to reasonable adjustments
"Clinical characteristics, laboratory parameters and outcomes of COVID-19 in cancer and non-cancer patients from a tertiary Cancer Centre in India(rerun)","S.P., Mirgh; A., Gokarn; A., Rajendra; A., More; S., Kamtalwar; K.S., Katti; A., Singh; V.B., Goli; R., Ravind; R., Madala; S., Kakoti; P., Maitre; S., Punatar; A., Chichra; A., Patil; B., Trivedi; A., Joshi; N., Patkar; P., Tembhare; T., Khanka; S., Rajpal; G., Chatterjee; S., Kannan; P.G., Subramanian; V., Murthy; N., Shetty; P., Chavan; V., Bhat; S., Nair; N., Khattry; Gupta S.  AO  - Mirgh  Navin; ORCID: https:; orcid.org/0000-0001-5708-6472, Sumeet P.; ORCID: https:; orcid.org/0000-0003-0642-2207 A O - Khattry","Background: There is paucity of data regarding clinical characteristics, laboratory parameters and outcomes of coronavirus disease (COVID-19) in cancer versus non-cancer patients, particularly from India. Material(s) and Method(s): This was an observational, single-centre, retrospective analysis of patients with laboratory-confirmed COVID-19 hospitalised in our institution between 22 May 2020 and 1 December 2020. We compared baseline clinical characteristics, laboratory parameters and outcomes of COVID-19 (overall mortality, time to discharge) between cancer and non-cancer patients. Result(s): A total of 200 COVID-19 infection episodes were analysed of which 109 (54.5%) were patients with cancer and 91 (45.5%) were patients without cancer. The median age was 43 (interquartile range [IQR]:32-57), 51 (IQR: 33-62) and 38 (IQR: 31.5-49.3) years; of whole cohort, cancer and non-cancer patients, respectively. Comparison of outcomes showed that oxygen requirement (31.2% [95% CI: 22.6-40.7] vs. 17.6% [95% CI: 10.4-26.9]; p = 0.03), median time to discharge (11 days [IQR: 6.75-16] vs. 6 days [IQR: 3-9.75]; p < 0.001) and mortality (10.0% [95% CI: 5.2-17.3] vs. 1.1% [95% CI: 0.03-5.9]; p = 0.017) were significantly higher in patients with cancer. In univariable analysis, factors associated with higher mortality in the whole cohort included diagnosis of cancer (10.1% vs. 1.1%; p = 0.027; odds ratio [OR]: 7.04), age >=60 (17.4% vs. 2.6%; p = 0.001; OR: 7.38), oxygen requirement (22% vs. 0.6%; p < 0.001; OR: 29.01), chest infiltrates (19.2% vs. 1.4%; p < 0.001; OR: 22.65), baseline absolute lymphocyte count <1 x 109/L (10.8% vs. 1.9%; p = 0.023; OR:5.1), C-reactive protein >1 mg% (12.8% vs. 0%; p = 0.027; OR: 24.69), serum procalcitonin >0.05 ng/ml (22.65% vs. 0%; p = 0.004; OR: 4.49) and interleukin-6 >6 pg/ml (10.8% vs. 1.3%; p = 0.036; OR: 3.08). In multivariable logistic regression, factors significantly associated with mortality were oxygen requirement (p = 0.005; OR: 13.11) and high baseline procalcitonin level (p = 0.014; OR: 37.6). Conclusion(s): Cancer patients with COVID-19 have higher mortality and require longer hospital stay. High procalcitonin levels and oxygen requirement during admission are other factors that affect outcomes adversely.Copyright Â© 2021 The Authors. Cancer Medicine published by John Wiley & Sons Ltd.",2021,,Cancer Medicine,,,,,https://dx.doi.org/10.1002/cam4.4379,,#73036,S 2021,"Justine Chan (2023-10-28 03:45:39)(Select): The primary endpoint of the study was overall mortality between cancer versus non-cancer patients. It was calculated from first date of SARS-CoV-2 RT-PCR positivity until date of death during hospital stay. The secondary endpoints were duration of hospitalisation in cancer and non-cancer patients, and factors affecting mortality. NOT specific to Covid19?; ",true cancer vs non-cancer
Hospital and ICU Admission Risk Associated With Comorbidities Among Children With COVID-19 Ancestral Strains(rerun),Ungar S.P.; Solomon S.; Stachel A.; Shust G.F.; Clouser K.N.; Bhavsar S.M.; Lighter J.,"A large proportion of children have been affected by COVID-19; we evaluated the association between comorbidities and hospitalization/ICU (intensive care unit) admission among 4097 children under age 21 years with symptomatic COVID-19 (not just polymerase chain reaction [PCR]-positive or multisystem inflammatory syndrome in children associated with COVID-19 [MIS-C]) from 2 large health systems from March 2020 to September 2021. Significant comorbidities and demographic factors identified by univariable analysis were included in a multivariable logistic regression compared with children ages 6 to 11 without comorbidities. In all, 475 children (11.6%) were hospitalized, of whom 25.5% required ICU admission. Children under 1 year had high hospitalization risk, but low risk of ICU admission. Presence of at least 1 comorbidity was associated with hospitalization and ICU admission (odds ratio [OR] > 4). Asthma, obesity, chronic kidney disease, sickle cell disease, bone marrow transplantation, and neurologic disorders were associated with hospitalization (adjusted odds ratio [AOR] > 2). Malignancy, intellectual disability, and prematurity were associated with ICU admission (AOR > 4). Comorbidities are significantly associated with hospitalization/ICU admission among children with COVID-19.Copyright Â© The Author(s) 2023.",2023,,Clinical Pediatrics,,,,,https://dx.doi.org/10.1177/00099228221150605,,#73037,Ungar 2023,"Abigail Burn (2023-11-03 05:12:36)(Select): table3; James Morris (2023-10-09 22:07:50)(Select): Malignancy identified from patients' problem list at admission, therefore, likely to be active malignancy in the last 12 months. Formal PCR testing for inclusion.; ",cancer as comorbidity - included due to reasonable adjustments
Clinical Characteristics and Outcomes of COVID-19 Cohort Patients in Daegu Metropolitan City Outbreak in 2020(rerun),"S.W., Kim; S.M., Kim; Y.K., Kim; J.Y., Kim; Y.M., Lee; B.O., Kim; S., Hwangbo; Park T.  AO  - Kim  Seung Mee; ORCID: https:; orcid.org/0000-0003-0899-0208 AO  - Kim, Yu Kyung; ORCID: https:; orcid.org/0000-0002-4699-8502 AO  - Kim, Jong Yeon; ORCID: https:; orcid.org/0000-0002-4478-6127 AO  - Lee, Yu Mi; ORCID: https:; orcid.org/0000-0003-3206-7894 AO  - Kim, Bong Ok; ORCID: https:; orcid.org/0000-0002-5813-1754 AO  - Hwangbo, Suhyun; ORCID: https:; orcid.org/0000-0001-9294-1518 AO  - Park, Taesung; ORCID: https:; orcid.org/0000-0002-8294-590X, Shin Woo; ORCID: https:; orcid.org/0000-0002-3755-8249 A O - Kim","BACKGROUND: A coronavirus disease 2019 (COVID-19) outbreak started in February 2020 and was controlled at the end of March 2020 in Daegu, the epicenter of the coronavirus outbreak in Korea. The aim of this study was to describe the clinical course and outcomes of patients with COVID-19 in Daegu. METHOD(S): In collaboration with Daegu Metropolitan City and Korean Center for Diseases Control, we conducted a retrospective, multicenter cohort study. Demographic, clinical, treatment, and laboratory data, including viral RNA detection, were obtained from the electronic medical records and cohort database and compared between survivors and non-survivors. We used univariate and multi-variable logistic regression methods and Cox regression model and performed Kaplan-Meier analysis to determine the risk factors associated with the 28-day mortality and release from isolation among the patients. RESULT(S): In this study, 7,057 laboratory-confirmed patients with COVID-19 (total cohort) who had been diagnosed from February 18 to July 10, 2020 were included. Of the total cohort, 5,467 were asymptomatic to mild patients (77.4%) (asymptomatic 30.6% and mild 46.8%), 985 moderate (14.0%), 380 severe (5.4%), and 225 critical (3.2%). The mortality of the patients was 2.5% (179/7,057). The Cox regression hazard model for the patients with available clinical information (core cohort) (n = 2,254) showed the risk factors for 28-day mortality: age > 70 (hazard ratio [HR], 4.219, P = 0.002), need for O2 supply at admission (HR, 2.995; P = 0.001), fever (> 37.5degreeC) (HR, 2.808; P = 0.001), diabetes (HR, 2.119; P = 0.008), cancer (HR, 3.043; P = 0.011), dementia (HR, 5.252; P = 0.008), neurological disease (HR, 2.084; P = 0.039), heart failure (HR, 3.234; P = 0.012), and hypertension (HR, 2.160; P = 0.017). The median duration for release from isolation was 33 days (interquartile range, 24.0-46.0) in survivors. The Cox proportional hazard model for the long duration of isolation included severity, age > 70, and dementia. CONCLUSION(S): Overall, asymptomatic to mild patients were approximately 77% of the total cohort (asymptomatic, 30.6%). The case fatality rate was 2.5%. Risk factors, including older age, need for O2 supply, dementia, and neurological disorder at admission, could help clinicians to identify COVID-19 patients with poor prognosis at an early stage.Copyright Â© 2021 The Korean Academy of Medical Sciences.",2021,,Journal of Korean medical science,,,,,https://dx.doi.org/10.3346/jkms.2021.36.e12,,#73040,S 2021,Fazal Shah (2023-11-05 10:13:28)(Select): COVID confirmed via PCR; 85 patients with cancer (Table 1);  mortality outcomes for cancer vs non-cancer stratified in Table 1; multivariate regression HR reported in Table 2 for 28-day mortality in cancer patients ; ,cancer as comorbidity - included due to reasonable adjustments
Clinical characteristics and factors associated with COVID-19-related mortality and hospital admission during the first two epidemic waves in 5 rural provinces in Indonesia: A retrospective cohort study.(rerun),"Surendra, Henry; Praptiningsih, C Yekti; Ersanti, Arina M; Rahmat, Mariati; Noviyanti, Widia; Harmani, Joshua A D; Mansur, Erni N A; Suleman, Yana Y; Sudrani, Sitti; Rosalina, Rosalina; Mukhtar, Ismen; Rosadi, Dian; Fauzi, Lukman; Elyazar, Iqbal R F; Hawley, William A; Wibisono, Hariadi","BACKGROUND: Data on coronavirus disease 2019 (COVID-19) clinical characteristics and severity from resource-limited settings are limited. This study examined clinical characteristics and factors associated with COVID-19 mortality and hospitalisation in rural settings of Indonesia, from 1 January to 31 July, 2021., METHODS: This retrospective cohort included individuals diagnosed with COVID-19 based on polymerase chain reaction or rapid antigen diagnostic test, from five rural provinces in Indonesia. We extracted demographic and clinical data, including hospitalisation and mortality from a new piloted COVID-19 information system named Sistem Informasi Surveilans Epidemiologi (SISUGI). We used mixed-effect logistic regression to examine factors associated with COVID-19-related mortality and hospitalisation., RESULTS: Of 6,583 confirmed cases, 205 (3.1%) died and 1,727 (26.2%) were hospitalised. The median age was 37 years (Interquartile range 26-51), with 825 (12.6%) under 20 years, and 3,371 (51.2%) females. Most cases were symptomatic (4,533; 68.9%); 319 (4.9%) had a clinical diagnosis of pneumonia and 945 (14.3%) presented with at least one pre-existing comorbidity. Age-specific mortality rates were 0.9% (2/215) for 0-4 years; 0% (0/112) for 5-9 years; 0% (1/498) for 10-19 years; 0.8% (11/1,385) for 20-29 years; 0.9% (12/1,382) for 30-39 years; 2.1% (23/1,095) for 40-49 years; 5.4% (57/1,064) for 50-59 years; 10.8% (62/576) for 60-69 years; 15.9% (37/232) for >=70 years. Older age, pre-existing diabetes, chronic kidney disease, liver diseases, malignancy, and pneumonia were associated with higher risk of mortality and hospitalisation. Pre-existing hypertension, cardiac diseases, COPD, and immunocompromised condition were associated with risk of hospitalisation but not with mortality. There was no association between province-level density of healthcare workers with mortality and hospitalisation., CONCLUSION: The risk of COVID-19-related mortality and hospitalisation was associated with higher age, pre-existing chronic comorbidities, and clinical pneumonia. The findings highlight the need for prioritising enhanced context-specific public health action to reduce mortality and hospitalisation risk among older and comorbid rural populations. Copyright: This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication.",2023,,PLoS ONE,,,,,https://dx.doi.org/10.1371/journal.pone.0283805,,#73048,Surendra 2023,Fazal Shah (2023-11-05 10:24:04)(Select): COVID confirmed via PCR test or Ag RDT; 20 patients with cancer and COVID; aOR for mortality given in Table 3 for cancer patients; ; ,cancer as comorbidity - included due to reasonable adjustments
Clinical characteristics and risk factors for COVID-19 infection and disease severity: A nationwide observational study in Estonia(rerun),"T., Meister; H., Pisarev; R., Kolde; R., Kalda; K., Suija; L., Milani; L., Karo-Astover; M., Piirsoo; , Uuskula A","Background COVID-19 pandemic has led to overloading of health systems all over the world. For reliable risk stratification, knowledge on factors predisposing to SARS-CoV-2 infection and to severe COVID-19 disease course is needed for decision-making at the individual, provider, and government levels. Data to identify these factors should be easily obtainable. Methods and findings Retrospective cohort study of nationwide e-health databases in Estonia. We used longitudinal health records from 66,295 people tested positive for SARS-CoV-2 RNA from 26 February 2020 to 28 February 2021 and 254,958 randomly selected controls from the reference population with no known history of SARS-CoV-2 infection or clinical COVID-19 diagnosis (case to control ratio 1:4) to predict risk factors of infection and severe course of COVID-19. We analysed sociodemographic and health characteristics of study participants. The SARS-CoV-2 infection risk was slightly higher among women, and was higher among those with comorbid conditions or obesity. Dementia (RRR 3.77, 95%CI 3.30-4.31), renal disease (RRR 1.88, 95%CI 1.56-2.26), and cerebrovascular disease (RRR 1.81, 95%CI 1.64-2.00) increased the risk of infection. Of all SARS-CoV-2 infected people, 92% had a non-severe disease course, 4.8% severe disease (requiring hospitalisation), 1.7% critical disease (needing intensive care), and 1.5% died. Male sex, increasing age and comorbid burden contributed significantly to more severe COVID-19, and the strength of association for male sex increased with the increasing severity of COVID-19 outcome. The strongest contributors to critical illness (expressed as RRR with 95% CI) were renal disease (7.71, 4.71-12.62), the history of previous myocardial infarction (3.54, 2.49-5.02) and obesity (3.56, 2.82-4.49). The strongest contributors to a lethal outcome were renal disease (6.48, 3.74-11.23), cancer (3.81, 3.06-4.75), liver disease (3.51, 1.36-9.02) and cerebrovascular disease (3.00, 2.31-3.89). Conclusions We found divergent effect of age and gender on infection risk and severity of COVID-19. Age and gender did not contribute substantially to infection risk, but did so for the risk of severe disease Co-morbid health conditions, especially those affecting renin-angiotensin system, had an impact on both the risk of infection and severe disease course. Age and male sex had the most significant impact on the risk of severe COVID-19. Taking into account the role of ACE2 receptors in the pathogenesis of SARS-CoV-2 infection, as well as its modulating action on the renin-angiotensin system in cardiovascular and renal diseases, further research is needed to investigate the influence of hormonal status on ACE2 expression in different tissues, which may be the basis for the development of COVID-19 therapies. Copyright Â© 2022 Meister et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2022,,PLoS ONE,,,,,https://dx.doi.org/10.1371/journal.pone.0270192,,#73058,T 2022,Fazal Shah (2023-11-05 10:28:35)(Select): COVID diagnosed via PCR; 1305 patients with cancer and COVID; outcomes of multivariate analysis for severe/critical/lethal disease reported in Table 2; ,cancer as comorbidity - included due to reasonable adjustments
"Inflammation, underweight, malignancy and a marked catabolic state as predictors for worse outcomes in COVID-19 patients with moderate-to-severe disease admitted to Internal Medicine Unit(rerun)","V., Guglielmi; L., Colangeli; V., Scipione; S., Ballacci; M., Di Stefano; L., Hauser; M.C., Bisogno; M., D'Adamo; E., Medda; , Sbraccia P","Introduction During COVID-19 pandemic, Internal Medicine Units (IMUs) accounted for about 70% of patients hospitalized. Although a large body of data has been published regarding the socalled first wave of the pandemic, little is known about the characteristics and predictors of worse outcomes of patients managed in IMUs during the second wave. Methods We prospectively assessed demographics, comorbidities, treatment and outcomes, including ventilation support (VS) and death, in patients admitted to our IMU for SARS-CoV-2 between October 13th, 2020 and January 21st, 2021. Clinical evolution and biochemical testing 1, 7 and 14 days after COVID-19 diagnosis were recorded. Results We studied 120 patients (M/F 56/64, age 71+/-14.5 years) admitted to our IMU. Most of them had at least one comorbidity (80%). Patients who died were older, more frequently underweight, affected by malignant neoplasms and on statin therapy compared to patients eventually discharged. Both worse outcome groups (VS and death) presented higher neutrophils, ferritin, IL-6 and lower total proteins levels than controls. Age was significantly associated with mortality but not with VS need. The multivariate analysis showed age and gender independent association of mortality with underweight, malignancy and antibiotics use at the admission. With regard to biochemical parameters, both unfavourable outcomes were positively associated with high WBC count, neutrophils, blood urea nitrogen and low serum total proteins. Conclusions Our study identified inflammation, underweight, malignancy and a marked catabolic state as the main predictors for worse outcomes in COVID-19 patients admitted to IMU during the so-called second wave of the pandemic.Copyright Â© 2022 Guglielmi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2022,,PLoS ONE,,,,,https://dx.doi.org/10.1371/journal.pone.0268432,,#73069,V 2022,"Mark Cheng (2023-11-04 11:20:01)(Select): once this paper is included, please in DE tag with ""cancer as comorbidity - included due to reasonable adjustments""; Mark Cheng (2023-11-04 11:19:19)(Select): adjusted OR on table 3, numbers can be inferred from text and other tables e.g. table 1; Shazia  Sarela (2023-11-04 00:15:12)(Select): 28 cancer as comorbidity patients ; ",cancer as comorbidity - included due to reasonable adjustments
Cancer patients in SARS-CoV-2 infection: a nationwide analysis in China(rerun),"W., Liang; W., Guan; R., Chen; W., Wang; J., Li; K., Xu; C., Li; Q., Ai; W., Lu; H., Liang; S., Li; , He J",,2020,,The Lancet Oncology,,,,,https://dx.doi.org/10.1016/S1470-2045%2820%2930096-6,,#73076,W 2020,"Abigail Burn (2023-10-27 21:11:40)(Select): no. of cancer patients = 18, no. of non-cancer patients = 1572; Mark Cheng (2023-09-27 06:47:14)(Select): yes in supplementary table S3; ",cancer diagnosis time unknown (do not proceed); true cancer vs non-cancer
Hospitalised COVID-19 patients of the Mount Sinai Health System: a retrospective observational study using the electronic medical records.(rerun),"Wang, Zichen; Zheutlin, Amanda; Kao, Yu-Han; Ayers, Kristin; Gross, Susan; Kovatch, Patricia; Nirenberg, Sharon; Charney, Alexander; Nadkarni, Girish; De Freitas, Jessica K; O'Reilly, Paul; Just, Allan; Horowitz, Carol; Martin, Glenn; Branch, Andrea; Glicksberg, Benjamin S; Charney, Dennis; Reich, David; Oh, William K; Schadt, Eric; Chen, Rong; Li, Li","OBJECTIVE: To assess association of clinical features on COVID-19 patient outcomes., DESIGN: Retrospective observational study using electronic medical record data., SETTING: Five member hospitals from the Mount Sinai Health System in New York City (NYC)., PARTICIPANTS: 28 336 patients tested for SARS-CoV-2 from 24 February 2020 to 15 April 2020, including 6158 laboratory-confirmed COVID-19 cases., MAIN OUTCOMES AND MEASURES: Positive test rates and in-hospital mortality were assessed for different racial groups. Among positive cases admitted to the hospital (N=3273), we estimated HR for both discharge and death across various explanatory variables, including patient demographics, hospital site and unit, smoking status, vital signs, lab results and comorbidities., RESULTS: Hispanics (29%) and African Americans (25%) had disproportionately high positive case rates relative to their representation in the overall NYC population (p<0.05); however, no differences in mortality rates were observed in hospitalised patients based on race. Outcomes differed significantly between hospitals (Gray's T=248.9; p<0.05), reflecting differences in average baseline age and underlying comorbidities. Significant risk factors for mortality included age (HR 1.05, 95% CI 1.04 to 1.06; p=1.15e-32), oxygen saturation (HR 0.985, 95% CI 0.982 to 0.988; p=1.57e-17), care in intensive care unit areas (HR 1.58, 95% CI 1.29 to 1.92; p=7.81e-6) and elevated creatinine (HR 1.75, 95% CI 1.47 to 2.10; p=7.48e-10), white cell count (HR 1.02, 95% CI 1.01 to 1.04; p=8.4e-3) and body mass index (BMI) (HR 1.02, 95% CI 1.00 to 1.03; p=1.09e-2). Deceased patients were more likely to have elevated markers of inflammation., CONCLUSIONS: While race was associated with higher risk of infection, we did not find racial disparities in inpatient mortality suggesting that outcomes in a single tertiary care health system are comparable across races. In addition, we identified key clinical features associated with reduced mortality and discharge. These findings could help to identify which COVID-19 patients are at greatest risk of a severe infection response and predict survival. Copyright Â© Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.",2020,,BMJ open,,,,,https://dx.doi.org/10.1136/bmjopen-2020-040441,,#73078,Wang 2020,"Fazal Shah (2023-10-05 21:47:49)(Select): Gives Hazard Ratios in Figure 5 for cancer sub-group, but doesn't give the confidence intervals so may need to see if can still include in meta-analysis; ",cancer as comorbidity - included due to reasonable adjustments
"Epidemiological, imaging, laboratory, and clinical characteristics and factors related to mortality in patients with covid-19: A single-center study(rerun)","Z., Azarkar; H., Salehiniya; T., Kazemi; , Abbaszadeh H","Objectives: Coronavirus disease 2019 (COVID-19) is a novel pandemic. Considerable differences in disease severity and the mortality rate have been observed in different parts of the world. The present study investigated the characteristics and outcomes of patients hospitalized with COVID-19 in Iran. Method(s): We established a retrospective cohort to study hospitalized COVID-19 patients in Iran. Epidemiological, imaging, laboratory, and clinical characteristics and outcomes were recorded from medical documents. The chi-square test, t-test, and logistic regression models were used to analyze the data. A p<0.05 was considered to indicate statistical significance. Result(s): In total, 364 cases (207 males and 157 females) were analyzed. The most common symptoms were cough, fever, and dyspnea. Multifocal bilateral ground-glass opacities with peripheral distribution were the predominant imaging finding. The mean age of patients was 54.28+/-18.81 years. The mean age of patients who died was 71.50+/-14.60 years. The mortality rate was 17.6%. The total proportion of patients with a comorbidity was 47.5%, and 84.4% of patients who died had a comorbidity. Sex, history of diabetes mellitus, and dyslipidemia were not significantly associated with mortality (p>0.05). However, mortality showed significant relationships with body mass index; age; history of hypertension, chronic kidney disease (CKD), ischemic heart disease, cerebrovascular accident (CVA), pulmonary disease, and cancer; and abnormal high-resolution computed tomography (HRCT) findings (p<0.05 for all). Cancer had the highest odds ratio. Conclusion(s): Comorbidities (especially cancer, CKD, and CVA), severe obesity, old age, and abnormal HRCT findings affected the health outcomes of patients hospitalized with COVID-19.Copyright Â© 2021 Korea Centers for Disease Control and Prevention. All rights reserved.",2021,,Osong Public Health and Research Perspectives,,,,,https://dx.doi.org/10.24171/J.PHRP.2021.0012,,#73095,Z 2021,"Abigail Burn (2023-11-07 02:54:12)(Select): table 5
n(cancer) = 11, n(non-cancer) = 351; ",cancer as comorbidity - included due to reasonable adjustments
