Covidence #,Study ID,Title,Reviewer Name,CASE CONTROL: Selection: 1) Is the case definition adequate?,CASE CONTROL: Selection: 1) Is the case definition adequate? supporting text,CASE CONTROL: Selection: 2) Representativeness of the cases,CASE CONTROL: Selection: 2) Representativeness of the cases supporting text,CASE CONTROL: Selection: 3) Selection of Controls,CASE CONTROL: Selection: 3) Selection of Controls supporting text,CASE CONTROL: Selection: 4) Definition of Controls,CASE CONTROL: Selection: 4) Definition of Controls supporting text,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis,CASE CONTROL: Comparability: 1) Comparability of cases and controls on the basis of the design or analysis supporting text,COHORT: Selection: 1) Representativeness of the cancer cohort,COHORT: Selection: 1) Representativeness of the cancer cohort supporting text,COHORT: Selection: 2) Selection of the non exposed cohort,COHORT: Selection: 2) Selection of the non exposed cohort supporting text,COHORT: Selection: 3) Ascertainment of exposure,COHORT: Selection: 3) Ascertainment of exposure supporting text,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study,COHORT: Selection: 4) Demonstration that outcome of interest [COVID-19 diagnosis/hospitalisation/severe disease] was not present at start of study supporting text,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis,COHORT: Comparability: 1) Comparability of cohorts on the basis of the design or analysis supporting text,COHORT: Outcome: 1) Assessment of outcome,COHORT: Outcome: 1) Assessment of outcome supporting text,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur,COHORT: Outcome: 2) Was follow-up long enough for outcomes to occur supporting text,COHORT: Outcome: 3) Adequacy of follow up of cohorts,COHORT: Outcome: 3) Adequacy of follow up of cohorts supporting text
73036,S 2021,"Clinical characteristics, laboratory parameters and outcomes of COVID-19 in cancer and non-cancer patients from a tertiary Cancer Centre in India(rerun)",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",b) drawn from a different source,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
72989,Q 2020,Cancer increases risk of in-hospital death from COVID-19 in persons <65 years and those not in complete remission(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
72919,M 2022,Thrombotic and Clinical Outcomes in Patients with Hematologic Malignancy and COVID-19(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
72884,M 2021,Cancer and COVID-19: Analysis of patient outcomes(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"This cohort of COVID-19 patients is representative of the patient population at two university hospitals in New Orleans, Louisiana - could be argued that the centres being in the same city makes this a c)",a) drawn from the same community as the exposed cohort Ø,A total of 260 COVID-19 patients were admitted during the period between 27 February and 27 April 2020. Characteristics of 57 cancer (30 men and 27 women) and 203 noncancer patients were compared,a) secure record (eg surgical records) Ø,"Study data were collected and managed using REDCap electronic data capture tools hosted at Tulane Medical Center. REDCap (Research Electronic Data Capture) is a secure, web-based software platform designed to support data capture for research studies, providing an intuitive interface for validated data capture and audit trails for tracking data manipulation and export procedures ",b) no,A total of 260 COVID-19 patients were admitted during the period between 27 February and 27 April 2020. COVID-19 testing for patients was done using RT-PCR through the Louisiana OPH Laboratory. No mention of negative covid-19 test at start of study period,c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",Adult hospitalized patients were collected during the period between 27 February and 27 April 2020. COVID-19 testing for patients was done using RT-PCR through the Louisiana Office of Public Health (OPH) Laboratory.,b) no,224/260 closed cases so limited follow-up time,c) follow up rate < 90% and no description of those lost,14% (36/260) lost to follow-up 
72866,L 2021,Rates of COVID-19-Related Outcomes in Cancer Compared With Noncancer Patients(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",a) complete follow up - all subjects accounted for Ø,""
72854,Konermann 2023,High In-Hospital Mortality in SARS-CoV-2-Infected Patients with Active Cancer Disease during Omicron Phase of the Pandemic: Insights from the CORONA Germany Study.(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"a multicenter, observational, prospective, epidemiological cohort study. The investigator-initiated study involved 45 hospitals across Germany, all belonging to the hospital network Asklepios.",a) drawn from the same community as the exposed cohort Ø,"The investigator-initiated study involved 45 hospitals across Germany, all belonging to the hospital network Asklepios.",a) secure record (eg surgical records) Ø,All data collected from the data repository were validated by the networks’ quality management database.,b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"A logistic regression model was applied to predict mortality from cancer status (no cancer, history of cancer, or active cancer disease), pandemic phase, age, gender, and comorbidities. Age was transformed using a restricted cubic spline function with three knots. ",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),All data were observational and taken out of medical records during hospitalization,a) yes (the study encompass sickness period of all patients) Ø,Each study participant was followed up for the whole duration of the hospital stay (discharge or death).,a) complete follow up - all subjects accounted for Ø,Each study participant was followed up for the whole duration of the hospital stay (discharge or death).
72749,F 2020,"Clinical characteristics and risk factors associated with COVID-19 severity in patients with haematological malignancies in Italy: a retrospective, multicentre, cohort study(rerun)",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",b) drawn from a different source,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
72735,F 2021,COVID-19 in hematopoietic cell transplant recipients(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
72612,A 2021,Descriptive Comparative Analysis of Patients with Cancer Referring to the Emergency Department of an Italian University Hospital across the Severe Acute Respiratory Syndrome Coronavirus 2 Waves(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
72593,A 2021,SARS-CoV-2 Clinical Outcomes in Patients with Cancer in a Large Integrated Health Care System in Northern California(rerun),Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
71915,Leuva 2022,"Influence of Cancer on COVID-19 Incidence, Outcomes, and Vaccine Effectiveness: A Prospective Cohort Study of U.S. Veterans.",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
71781,Martin 2023,SARS-CoV-2 Virus in Cancer Patients: A New Unknown in an Unsolved Equation.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
71633,Raad 2023,International multicenter study comparing COVID-19 in patients with cancer to patients without cancer: Impact of risk factors and treatment modalities on survivorship.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",a) truly representative of the average cancer patient in the community (Multicentre and multinational) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
71628,Turtle 2023,Outcome of COVID-19 in hospitalised immunocompromised patients: An analysis of the WHO ISARIC CCP-UK prospective cohort study.,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
71512,Nolan 2023,"Relations of Current and Past Cancer with Severe Outcomes among 104,590 Hospitalized COVID-19 Patients: The COVID EHR Cohort at the University of Wisconsin.",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
71402,Salvatore 2023,"COVID-19 Outcomes by Cancer Status, Site, Treatment, and Vaccination.",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
71373,Zhang 2022,Early COVID-19 Hospitalizations Among New York State Residents with a History of Invasive Cancer.,Consensus,"","","","","","","","","","","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",c) no description of the derivation of the non exposed cohort,"",d) no description,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
71018,Mathews 2022,The clinical impact of COVID-19 on patients with cancer in British Columbia: An observational study.,Consensus,"","","","","","","","","","",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
70896,Abuhelwa 2022,In-Hospital Mortality and Morbidity in Cancer Patients with COVID-19: A Nationwide Analysis from the United States.,Consensus,This study is a cohort study,"",This study is a cohort study,"In this retrospective cohort study, COVID-19 patients admitted to acute care hospitals in the United States were identified using the Healthcare Cost and Utilization Project Nationwide Inpatient Sample (NIS) 2020 database.",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"In this retrospective cohort study, COVID-19 patients admitted to acute care hospitals in the United States were identified using the Healthcare Cost and Utilization Project Nationwide Inpatient Sample (NIS) 2020 database.",a) drawn from the same community as the exposed cohort Ø,"In this retrospective cohort study, COVID-19 patients admitted to acute care hospitals in the United States were identified using the Healthcare Cost and Utilization Project Nationwide Inpatient Sample (NIS) 2020 database.",a) secure record (eg surgical records) Ø,NIS is the largest all-payer and publicly available inpatient database in the United States which was developed and is maintained by the Agency for Healthcare Research and Quality.,b) no,Not specified.,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Multiple potential confounders were collected and accounted for during the analysis, including patient’s age, sex, race, admission type and day, hospital bed size, hospital teaching status, hospital region, insurance status, income in patient’s zip code, Charlson’s comorbidity index and comorbidities including congestive heart failure, coronary artery disease, chronic pulmonary disease, diabetes mellitus, hypertension, chronic renal failure, liver disease, obesity, smoking, and alcohol and drugs abuse.","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)",Patient vital status at discharge was coded directly in NIS.,a) yes (the study encompass sickness period of all patients) Ø,The primary outcome was all-cause in-hospital mortality. Patient vital status at discharge was coded directly in NIS.,a) complete follow up - all subjects accounted for Ø,The primary outcome was all-cause in-hospital mortality. Patient vital status at discharge was coded directly in NIS.
70028,Sanchez-Pina 2020,Clinical course and risk factors for mortality from COVID-19 in patients with haematological malignancies,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",b) structured interview Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
70019,Klein 2021,Impact of Cancer History on Outcomes Among Hospitalized Patients with COVID-19,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",b) no,"",d) no statement,""
70002,M 2021,Multivariate mortality analyses in COVID-19: Comparing patients with cancer and patients without cancer in Louisiana,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",c) Study does not control for any factors,"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",b) no,"",d) no statement,""
69998,D 2021,"Prevalence, determinants, and outcomes of SARS-COV-2 infection among cancer patients. A population-based study in northern Italy",Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
69989,Costa 2021,Higher severity and risk of in-hospital mortality for COVID-19 patients with cancer during the year 2020 in Brazil: A countrywide analysis of secondary data,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"This was a secondary data study of hospitalized adult patients with a diagnosis of COVID-19 in Brazil. The data were retrieved from the Influenza Epidemiological Surveillance Information System (Sistema de Informação de Vigilância Epidemiológica da Gripe [SIVEP-Gripe] in Portuguese). This system is used by the epidemiological sur- veillance of states and municipalities to insert the files of severe acute respiratory syndrome cases seen in hospitals and emergency care units (Unidades de Pronto Atendimento in Portuguese)

However they excluded patients younger than 20years old, those living outside Brazil. ",a) drawn from the same community as the exposed cohort Ø,This was a secondary data study of hospitalized adult patients with a diagnosis of COVID-19 in Brazil. The data were retrieved from the Influenza Epidemiological Surveillance Information System ,a) secure record (eg surgical records) Ø,"The following demographic, epidemiological, and clinical variables were evaluated: age at diagnosis, sex, self- reported ethnicity/skin color (according to the Brazilian Institute of Geography and Statistics), self-reported level of education, main symptoms of COVID-19, and pres- ence of comorbidities potentially associated with the severity of COVID-19 (with an emphasis on cancer to- pographies).",b) no,Did not have a negative covid test prior to study beginning. ,b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"Table 3 and 4:
Both sexes: Adjusted by age, pulmonary disease, hematological disease, and cardiovas- cular disease
Male: Adjusted by age, schooling, neurological disease, renal disease, pulmonary 
disease, hematological disease, and cardiovascular disease
Female: Adjusted by neurological disease, pulmonary disease, hematological dis-
ease, and cardiovascular disease",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"The following demographic, epidemiological, and clinical variables were evaluated: age at diagnosis, sex, self- reported ethnicity/skin color (according to the Brazilian Institute of Geography and Statistics), self-reported level of education, main symptoms of COVID-19, and pres- ence of comorbidities potentially associated with the severity of COVID-19 (with an emphasis on cancer to- pographies). In addition, data were collected upon ICU admission on the following: mortality, need for respira- tory support (noninvasive vs invasive), time in the ICU, hospital length of stay, and hospital mortality",a) yes (the study encompass sickness period of all patients) Ø,"Patients younger than 20 years, patients living outside Brazil, patients without discharge date data, and patients whose discharge date happened after December 31, 2020, were excluded from the analysis (Fig. 1)

excluded those who had sickness period outside of the study period so all those included have a resolved sickness. ",a) complete follow up - all subjects accounted for Ø,"Patients younger than 20 years, patients living outside Brazil, patients without discharge date data, and patients whose discharge date happened after December 31, 2020, were excluded from the analysis (Fig. 1)"
69975,Sahin 2021,The clinical outcomes of COVID-19 infection in patients with a history of thyroid cancer: A nationwide study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"""We used the Turkish Ministry of Health National Electronic Database to design a multi-centre, retrospective cohort study.""",a) drawn from the same community as the exposed cohort Ø,"""We used the Turkish Ministry of Health National Electronic Database to design a multi-centre, retrospective cohort study.""",a) secure record (eg surgical records) Ø,"""electronic data consisted of 149,671 COVID-19 patients with a positive SARS-CoV-2 polymerase chain reaction (PCR) test.""",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"""Our study group (total n = 776) included thyroid cancer patients (n=388) (C 73) diagnosed with COVID-19 infection and as a control group gender and age-matched patients with COVID-19 without a cancer diagnoses (n=388).""",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"""electronic data consisted of 149,671 COVID-19 patients with a positive SARS-CoV-2 polymerase chain reaction (PCR) test.""",a) yes (the study encompass sickness period of all patients) Ø,"""The median and range of the follow-up period for patients with thyroid cancer was calculated as 8 (1-49) days and non-cancer patients as 8 (1-37) days.""",a) complete follow up - all subjects accounted for Ø,"Follow-up centre Public hospitals; University hospitals; Private centres accounted for all 388 non cancer patients and 388 thyroid cancer patients, none were lost to follow up.
Non-cancer patients: 306; 40; 42
Thyroid cancer: 301; 31; 56"
68513,S 2022,High mortality in patients with active malignancy and severe COVID-19: Results from an Austrian multicenter registry during the first period of the COVID-19 pandemic,Consensus,This study is a cohort study,Diagnosis of COVID-19 was based on RT-PCR results. ,This study is a cohort study,"we decided to include only hospitalized patients with
COVID-19 who had severe (needing low-flow oxygen
therapy) or critical (needing high-flow oxygen therapy
or treatment in an intensive care unit) COVID-19 dis-
ease. Of note, vaccines were not widely available at
point of inclusion and in fact no patient in this study
was vaccinated against SARS-CoV-2",This study is a cohort study,"245 con-
secutive patients admitted for severe COVID-19 at four
different COVID-19 units in four different oncologic
departments in Austria between 1 March 2020 and
31 March 2021. ",This study is a cohort study,"The non-cancer control group consisted of
patients admitted at the Department of Medicine I at
the Clinic Ottakring in Vienna for severe COVID-19
but had no history of cancer within the last 5 years.",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"Study population, setting, and data collection. This was a 12-month retrospective analysis of 245 consecutive patients admitted for severe COVID-19 at four different COVID-19 units in four different oncologic departments in Austria between 1 March 2020 and
31 March 2021",b) drawn from a different source,The noncancer control group consisted of patients admitted at the Department of Medicine I at the Clinic Ottakring in Vienna for severe COVID-19 but had no history of cancer within the last 5 years.,d) no description,"",b) no,"This was a 12-month retrospective analysis of 245 con-
secutive patients admitted for severe COVID-19 at four
different COVID-19 units in four different oncologic
departments in Austria between 1 March 2020 and
31 March 2021.",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),Looking at the data they were roughly age and gender matched ,"a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","Diagnosis of COVID-19 was
confirmed by reverse transcription polymerase chain reaction (RT-PCR) using nasopharyngeal swabs",a) yes (the study encompass sickness period of all patients) Ø,"This was a 12-month retrospective analysis of 245 con-
secutive patients admitted for severe COVID-19 at four
different COVID-19 units in four different oncologic
departments in Austria between 1 March 2020 and
31 March 2021 i.e. entire period of hospitalisation ",d) no statement,""
68304,R 2022,Changing characteristics of cancer patients during the COVID-19 pandemic,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"","a) independent or blind assessment Ø (direct reference to RT-PCR/RAT/laboratory test, etc.)","",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
68083,Y 2022,Characterizing cancer and COVID-19 outcomes using electronic health records,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",a) truly representative of the average cancer patient in the community (Multicentre and multinational) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",a) yes Ø,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",a) complete follow up - all subjects accounted for Ø,""
67898,H 2022,Outcomes of Patients With Active Cancer and COVID-19 in the Intensive-Care Unit: A Multicenter Ambispective Study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",b) somewhat representative of the average cancer patient in the community (not multinational but multiple centres) Ø,"",a) drawn from the same community as the exposed cohort Ø,"",a) secure record (eg surgical records) Ø,"",b) no,"",b) study controls for age AND any additional factor Ø (This criteria could be modified to indicate specific control for a second important factor.),"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"","b) subjects lost to follow up unlikely to introduce bias (less than 10% lost to follow up, or description provided of those lost) Ø",""
67363,E 2021,Endothelial activation and stress index (Easix) as an early predictor for mortality and overall survival in hematological and non-hematological patients with covid-19: Multicenter cohort study,Consensus,This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"",This study is a cohort study,"","c) selected group of users e.g. dock-workers, radiograph technicians, ethnic race , single centre","",a) drawn from the same community as the exposed cohort Ø,"",d) no description,"",b) no,"",c) Study does not control for any factors,"",b) record linkage Ø  (e.g. identified through ICD codes on EHR database records),"",a) yes (the study encompass sickness period of all patients) Ø,"",d) no statement,""
